video_name,video_path,ground_truth_fall,predicted_fall,total_frames,fall_frames,max_fall_streak,streak_threshold
01.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/01.mp4,0,1,245,201,201,5
02.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/02.mp4,0,1,198,167,167,5
03.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/03.mp4,0,1,199,174,174,5
04.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/04.mp4,0,1,170,76,76,5
05.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/05.mp4,0,0,314,3,2,5
06.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/06.mp4,0,1,364,321,314,5
07.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/07.mp4,0,0,224,0,0,5
08.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/08.mp4,0,0,187,0,0,5
09.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/09.mp4,0,0,147,0,0,5
10.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/10.mp4,0,0,115,0,0,5
11.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/11.mp4,0,0,277,0,0,5
12.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/12.mp4,0,0,218,0,0,5
13.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/13.mp4,0,1,187,94,94,5
14.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/14.mp4,0,1,173,25,25,5
15.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/15.mp4,0,1,212,94,94,5
16.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/ADL/16.mp4,0,1,104,104,104,5
01.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/01.mp4,1,1,203,91,30,5
02.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/02.mp4,1,1,189,124,98,5
03.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/03.mp4,1,1,176,95,95,5
04.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/04.mp4,1,1,146,66,66,5
05.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/05.mp4,1,1,174,107,107,5
06.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/06.mp4,1,1,169,88,88,5
07.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/07.mp4,1,1,153,103,103,5
08.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/08.mp4,1,1,129,91,91,5
09.mp4,GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-v2.1/ekramalam-GMDCSA24-A-Dataset-for-Human-Fall-Detection-in-Videos-5abac76/Subject 1/Fall/09.mp4,1,1,131,83,83,5
